PRODUCT,W/M,ONLINE/IN-PERSON,SKU,FIT ELEMENTS,DEXTERITY ELEMENTS,SENSORY ELEMENTS,VIABLE FOR...
https://www.cos.com/en/women/womenswear/jeans/product.slim-fit-high-rise-jeans-blue.1004681002.html,,,,,,,
https://www.cos.com/en/women/womenswear/shirts/product.slim-fitted-shirt-white.0970464001.html,,,,,,,
https://www.cos.com/en/women/womenswear/dresses/product.high-neck-tube-dress-black.1026953001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.semi-sheer-midi-pencil-skirt-blue.1058126002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.cashmere-funnel-neck-jumper-black.1064774001.html,,,,,,,
https://www.cos.com/en/women/womenswear/tops/product.slim-fit-merino-wool-turtleneck-top-black.0989040001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.jersey-mini-skirt-black.1083179001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-full-length-jeans-black.1055656003.html,,,,,,,
https://www.cos.com/en/women/womenswear/dresses/product.midi-tube-dress-black.0973163004.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-full-length-jeans-blue.1055656002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.cashmere-ribbed-knit-jumper-blue.1041213003.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.slim-fit-high-rise-jeans-black.1004681001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.skinny-mid-rise-jeans-black.0919600004.html,,,,,,,
